E1228 21:27:31.194638400   16953 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:27:31.1939849+01:00"}
<0, 21:27:31, 0, -1> 
<1, 21:27:31, 1, -1> 
<4, 21:27:31, 4, -1> 
<2, 21:27:31, 2, -1> 
<3, 21:27:31, 3, -1> 
<5, 21:27:31, 5, -1> 
<6, 21:27:31, 6, -1> 
<7, 21:27:31, 7, -1> 
<8, 21:27:32, 8, -1> 
<9, 21:27:32, 9, -1> 
<10, 21:27:32, 10, -1> 
<11, 21:27:32, 11, -1> 
<12, 21:27:32, 12, -1> 
<13, 21:27:32, 13, -1> 
<14, 21:27:32, 14, -1> 
<15, 21:27:32, 15, -1> 
<16, 21:27:32, 16, -1> 
<17, 21:27:33, 17, -1> 
<18, 21:27:33, 18, -1> 
<19, 21:27:33, 19, -1> 
<20, 21:27:33, 20, -1> 
<21, 21:27:33, 21, -1> 
<22, 21:27:33, 22, -1> 
<23, 21:27:33, 23, -1> 
<24, 21:27:33, 24, -1> 
<25, 21:27:34, 25, -1> 
<26, 21:27:34, 26, -1> 
<27, 21:27:34, 27, -1> 
<28, 21:27:34, 28, -1> 
<29, 21:27:34, 29, -1> 
<30, 21:27:34, 30, -1> 
<31, 21:27:34, 31, -1> 
<32, 21:27:34, 32, -1> 
<33, 21:27:35, 33, -1> 
<34, 21:27:35, 34, -1> 
<35, 21:27:35, 35, -1> 
<36, 21:27:35, 36, -1> 
<37, 21:27:35, 37, -1> 
<38, 21:27:35, 38, -1> 
<39, 21:27:35, 39, -1> 
<40, 21:27:35, 40, -1> 
<41, 21:27:35, 41, -1> 
<42, 21:27:35, 42, -1> 
<43, 21:27:35, 43, -1> 
<44, 21:27:36, 44, -1> 
<45, 21:27:36, 45, -1> 
<46, 21:27:36, 46, -1> 
<47, 21:27:36, 47, -1> 
<48, 21:27:36, 48, -1> 
<49, 21:27:36, 49, -1> 
<50, 21:27:36, 50, -1> 
<51, 21:27:36, 51, -1> 
<52, 21:27:36, 52, -1> 
<53, 21:27:36, 53, -1> 
<54, 21:27:37, 54, -1> 
<55, 21:27:37, 55, -1> 
<56, 21:27:37, 56, -1> 
<57, 21:27:37, 57, -1> 
<58, 21:27:37, 58, -1> 
<59, 21:27:37, 59, -1> 
<60, 21:27:37, 60, -1> 
<61, 21:27:37, 61, -1> 
<62, 21:27:38, 62, -1> 
<63, 21:27:38, 63, -1> 
<64, 21:27:38, 64, -1> 
<65, 21:27:38, 65, -1> 
<66, 21:27:38, 66, -1> 
<67, 21:27:38, 67, -1> 
<68, 21:27:38, 68, -1> 
<69, 21:27:39, 69, -1> 
<70, 21:27:39, 70, -1> 
<71, 21:27:39, 71, -1> 
<72, 21:27:39, 72, -1> 
<73, 21:27:39, 73, -1> 
<74, 21:27:39, 74, -1> 
<75, 21:27:39, 75, -1> 
<76, 21:27:39, 76, -1> 
<77, 21:27:39, 77, -1> 
<78, 21:27:40, 78, -1> 
<79, 21:27:40, 79, -1> 
<80, 21:27:40, 80, -1> 
<81, 21:27:40, 81, -1> 
<82, 21:27:40, 82, -1> 
<83, 21:27:40, 83, -1> 
<84, 21:27:40, 84, -1> 
<85, 21:27:40, 85, -1> 
<86, 21:27:40, 86, -1> 
<87, 21:27:41, 87, -1> 
