E1228 21:36:30.552285200    7309 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:36:30.5516464+01:00"}
<0, 21:36:31, 0, -1> 
<1, 21:36:31, 1, -1> 
<2, 21:36:31, 2, -1> 
<3, 21:36:31, 3, -1> 
<7, 21:36:31, 7, -1> 
<4, 21:36:31, 4, -1> 
<5, 21:36:31, 5, -1> 
<6, 21:36:31, 6, -1> 
<8, 21:36:31, 8, -1> 
<9, 21:36:31, 9, -1> 
<10, 21:36:31, 10, -1> 
<11, 21:36:31, 11, -1> 
<12, 21:36:31, 12, -1> 
<13, 21:36:31, 13, -1> 
<14, 21:36:31, 14, -1> 
<15, 21:36:32, 15, -1> 
<16, 21:36:32, 16, -1> 
<17, 21:36:32, 17, -1> 
<18, 21:36:32, 18, -1> 
<19, 21:36:32, 19, -1> 
<20, 21:36:32, 20, -1> 
<21, 21:36:32, 21, -1> 
<22, 21:36:32, 22, -1> 
<23, 21:36:32, 23, -1> 
<24, 21:36:32, 24, -1> 
<25, 21:36:33, 25, -1> 
<26, 21:36:33, 26, -1> 
<27, 21:36:33, 27, -1> 
<28, 21:36:33, 28, -1> 
<29, 21:36:33, 29, -1> 
<30, 21:36:33, 30, -1> 
<31, 21:36:33, 31, -1> 
<32, 21:36:33, 32, -1> 
<33, 21:36:33, 33, -1> 
<34, 21:36:34, 34, -1> 
<35, 21:36:34, 35, -1> 
<36, 21:36:34, 36, -1> 
<37, 21:36:34, 37, -1> 
<38, 21:36:34, 38, -1> 
<39, 21:36:34, 39, -1> 
<40, 21:36:34, 40, -1> 
<41, 21:36:34, 41, -1> 
<42, 21:36:34, 42, -1> 
<43, 21:36:34, 43, -1> 
<44, 21:36:35, 44, -1> 
<45, 21:36:35, 45, -1> 
<46, 21:36:35, 46, -1> 
<47, 21:36:35, 47, -1> 
<48, 21:36:35, 48, -1> 
<49, 21:36:35, 49, -1> 
<50, 21:36:35, 50, -1> 
<51, 21:36:36, 51, -1> 
<52, 21:36:36, 52, -1> 
<53, 21:36:36, 53, -1> 
<54, 21:36:36, 54, -1> 
<55, 21:36:36, 55, -1> 
<56, 21:36:36, 56, -1> 
<57, 21:36:36, 57, -1> 
<58, 21:36:36, 58, -1> 
<59, 21:36:36, 59, -1> 
<60, 21:36:36, 60, -1> 
<61, 21:36:37, 61, -1> 
<62, 21:36:37, 62, -1> 
<63, 21:36:37, 63, -1> 
<64, 21:36:37, 64, -1> 
<65, 21:36:37, 65, -1> 
<66, 21:36:37, 66, -1> 
<67, 21:36:37, 67, -1> 
<68, 21:36:37, 68, -1> 
<69, 21:36:37, 69, -1> 
<70, 21:36:38, 70, -1> 
<71, 21:36:38, 71, -1> 
<72, 21:36:38, 72, -1> 
<73, 21:36:38, 73, -1> 
<74, 21:36:38, 74, -1> 
<75, 21:36:38, 75, -1> 
<76, 21:36:38, 76, -1> 
<77, 21:36:38, 77, -1> 
<78, 21:36:38, 78, -1> 
<79, 21:36:38, 79, -1> 
<80, 21:36:38, 80, -1> 
<81, 21:36:38, 81, -1> 
<82, 21:36:38, 82, -1> 
<83, 21:36:39, 83, -1> 
<84, 21:36:39, 84, -1> 
<85, 21:36:39, 85, -1> 
<86, 21:36:39, 86, -1> 
<87, 21:36:39, 87, -1> 
<88, 21:36:39, 88, -1> 
<89, 21:36:39, 89, -1> 
<90, 21:36:39, 90, -1> 
<91, 21:36:40, 91, -1> 
<92, 21:36:40, 92, -1> 
<93, 21:36:40, 93, -1> 
<94, 21:36:40, 94, -1> 
<95, 21:36:40, 95, -1> 
<96, 21:36:40, 96, -1> 
<97, 21:36:40, 97, -1> 
<98, 21:36:40, 98, -1> 
<99, 21:36:40, 99, -1> 
<100, 21:36:40, 100, -1> 
<101, 21:36:41, 101, -1> 
<102, 21:36:41, 102, -1> 
<103, 21:36:41, 103, -1> 
<104, 21:36:41, 104, -1> 
<105, 21:36:41, 105, -1> 
<106, 21:36:41, 106, -1> 
<107, 21:36:41, 107, -1> 
<108, 21:36:41, 108, -1> 
<109, 21:36:41, 109, -1> 
<110, 21:36:42, 110, -1> 
