E1228 21:29:27.327570100   21796 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:29:27.3268214+01:00"}
<0, 21:29:27, 0, -1> 
<5, 21:29:27, 5, -1> 
<1, 21:29:27, 1, -1> 
<2, 21:29:27, 2, -1> 
<3, 21:29:27, 3, -1> 
<4, 21:29:27, 4, -1> 
<6, 21:29:28, 6, -1> 
<7, 21:29:28, 7, -1> 
<8, 21:29:28, 8, -1> 
<9, 21:29:28, 9, -1> 
<10, 21:29:28, 10, -1> 
<11, 21:29:28, 11, -1> 
<12, 21:29:28, 12, -1> 
<13, 21:29:28, 13, -1> 
<14, 21:29:28, 14, -1> 
<15, 21:29:28, 15, -1> 
<16, 21:29:28, 16, -1> 
<17, 21:29:28, 17, -1> 
<18, 21:29:29, 18, -1> 
<19, 21:29:29, 19, -1> 
<20, 21:29:29, 20, -1> 
<21, 21:29:29, 21, -1> 
<22, 21:29:29, 22, -1> 
<23, 21:29:29, 23, -1> 
<24, 21:29:29, 24, -1> 
<25, 21:29:29, 25, -1> 
<26, 21:29:29, 26, -1> 
<27, 21:29:29, 27, -1> 
<28, 21:29:29, 28, -1> 
<29, 21:29:30, 29, -1> 
<30, 21:29:30, 30, -1> 
<31, 21:29:30, 31, -1> 
<32, 21:29:30, 32, -1> 
<33, 21:29:30, 33, -1> 
<34, 21:29:30, 34, -1> 
<35, 21:29:30, 35, -1> 
<36, 21:29:30, 36, -1> 
<37, 21:29:30, 37, -1> 
<38, 21:29:30, 38, -1> 
<39, 21:29:30, 39, -1> 
<40, 21:29:31, 40, -1> 
<41, 21:29:31, 41, -1> 
<42, 21:29:31, 42, -1> 
<43, 21:29:31, 43, -1> 
<44, 21:29:31, 44, -1> 
<45, 21:29:31, 45, -1> 
<46, 21:29:31, 46, -1> 
<47, 21:29:31, 47, -1> 
<48, 21:29:32, 48, -1> 
<49, 21:29:32, 49, -1> 
<50, 21:29:32, 50, -1> 
<51, 21:29:32, 51, -1> 
<52, 21:29:32, 52, -1> 
<53, 21:29:32, 53, -1> 
<54, 21:29:32, 54, -1> 
<55, 21:29:33, 55, -1> 
<56, 21:29:33, 56, -1> 
<57, 21:29:33, 57, -1> 
<58, 21:29:33, 58, -1> 
<59, 21:29:33, 59, -1> 
<60, 21:29:33, 60, -1> 
<61, 21:29:33, 61, -1> 
<62, 21:29:33, 62, -1> 
<63, 21:29:34, 63, -1> 
<64, 21:29:34, 64, -1> 
<65, 21:29:34, 65, -1> 
<66, 21:29:34, 66, -1> 
<67, 21:29:34, 67, -1> 
<68, 21:29:34, 68, -1> 
<69, 21:29:34, 69, -1> 
<70, 21:29:34, 70, -1> 
<71, 21:29:34, 71, -1> 
<72, 21:29:35, 72, -1> 
<73, 21:29:35, 73, -1> 
<74, 21:29:35, 74, -1> 
<75, 21:29:35, 75, -1> 
<76, 21:29:35, 76, -1> 
