E1228 21:49:03.081681800    6428 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:49:03.081022+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<0, 21:49:03, 0, -1> 
<1, 21:49:03, 1, -1> 
<2, 21:49:03, 2, -1> 
<3, 21:49:03, 3, -1> 
<4, 21:49:03, 4, -1> 
<5, 21:49:03, 5, -1> 
<6, 21:49:03, 6, -1> 
<7, 21:49:03, 7, -1> 
<8, 21:49:03, 8, -1> 
<9, 21:49:03, 9, -1> 
<10, 21:49:04, 10, -1> 
<11, 21:49:04, 11, -1> 
<12, 21:49:04, 12, -1> 
<13, 21:49:04, 13, -1> 
<14, 21:49:04, 14, -1> 
<15, 21:49:04, 15, -1> 
<16, 21:49:04, 16, -1> 
<17, 21:49:04, 17, -1> 
<18, 21:49:04, 18, -1> 
<19, 21:49:04, 19, -1> 
<20, 21:49:04, 20, -1> 
<21, 21:49:05, 21, -1> 
<22, 21:49:05, 22, -1> 
<23, 21:49:05, 23, -1> 
<24, 21:49:05, 24, -1> 
<25, 21:49:05, 25, -1> 
<26, 21:49:05, 26, -1> 
<27, 21:49:05, 27, -1> 
<28, 21:49:05, 28, -1> 
<29, 21:49:06, 29, -1> 
<30, 21:49:06, 30, -1> 
<31, 21:49:06, 31, -1> 
<32, 21:49:06, 32, -1> 
<33, 21:49:06, 33, -1> 
<34, 21:49:06, 34, -1> 
<35, 21:49:06, 35, -1> 
<36, 21:49:06, 36, -1> 
<1, 21:49:06, 0, 1> 
<2, 21:49:06, 1, 2> 
<3, 21:49:06, 2, 3> 
<4, 21:49:06, 3, 4> 
<5, 21:49:06, 4, 5> 
<6, 21:49:06, 5, 6> 
<7, 21:49:06, 6, 7> 
<8, 21:49:06, 7, 8> 
<9, 21:49:06, 8, 9> 
<10, 21:49:06, 9, 10> 
<11, 21:49:06, 10, 11> 
<12, 21:49:06, 11, 12> 
<13, 21:49:06, 12, 13> 
<14, 21:49:06, 13, 14> 
<15, 21:49:06, 14, 15> 
<16, 21:49:06, 15, 16> 
<17, 21:49:06, 16, 17> 
<18, 21:49:06, 17, 18> 
<19, 21:49:06, 18, 19> 
<20, 21:49:06, 19, 20> 
<21, 21:49:06, 20, 21> 
<22, 21:49:06, 21, 22> 
<23, 21:49:06, 22, 23> 
<24, 21:49:06, 23, 24> 
<25, 21:49:06, 24, 25> 
<26, 21:49:06, 25, 26> 
<27, 21:49:06, 26, 27> 
<28, 21:49:06, 27, 28> 
<29, 21:49:06, 28, 29> 
<30, 21:49:06, 29, 30> 
<31, 21:49:06, 30, 31> 
<32, 21:49:06, 31, 32> 
<33, 21:49:06, 32, 33> 
<34, 21:49:06, 33, 34> 
<35, 21:49:06, 34, 35> 
<36, 21:49:06, 35, 36> 
<0, 21:49:06, 36, 0> 
<1, 21:49:06, 0, 1> 
<2, 21:49:06, 0, 2> 
<3, 21:49:06, 0, 3> 
<4, 21:49:06, 0, 4> 
<5, 21:49:06, 0, 5> 
<6, 21:49:06, 0, 6> 
<7, 21:49:06, 0, 7> 
<8, 21:49:06, 0, 8> 
<9, 21:49:06, 0, 9> 
<10, 21:49:06, 0, 10> 
<11, 21:49:06, 0, 11> 
<12, 21:49:06, 0, 12> 
<13, 21:49:06, 0, 13> 
<14, 21:49:06, 0, 14> 
<15, 21:49:06, 0, 15> 
<16, 21:49:06, 0, 16> 
<17, 21:49:06, 0, 17> 
<18, 21:49:06, 0, 18> 
<19, 21:49:06, 0, 19> 
<20, 21:49:06, 0, 20> 
<21, 21:49:06, 0, 21> 
<22, 21:49:06, 0, 22> 
<23, 21:49:06, 0, 23> 
<24, 21:49:06, 0, 24> 
<25, 21:49:06, 0, 25> 
<26, 21:49:06, 0, 26> 
<27, 21:49:06, 0, 27> 
<28, 21:49:06, 0, 28> 
<29, 21:49:06, 0, 29> 
<30, 21:49:06, 0, 30> 
<31, 21:49:06, 0, 31> 
<32, 21:49:06, 0, 32> 
<33, 21:49:06, 0, 33> 
<34, 21:49:06, 0, 34> 
<35, 21:49:06, 0, 35> 
<36, 21:49:06, 0, 36> 
<0, 21:49:06, 0, 0> 
<1, 21:49:06, 0, 1> 
<2, 21:49:06, 0, 2> 
<3, 21:49:06, 0, 3> 
<4, 21:49:06, 0, 4> 
<5, 21:49:06, 0, 5> 
<6, 21:49:06, 0, 6> 
<7, 21:49:06, 0, 7> 
<8, 21:49:06, 0, 8> 
<9, 21:49:06, 0, 9> 
<10, 21:49:06, 0, 10> 
<11, 21:49:07, 0, 11> 
<12, 21:49:07, 0, 12> 
<13, 21:49:07, 0, 13> 
<14, 21:49:07, 0, 14> 
<15, 21:49:07, 0, 15> 
<16, 21:49:07, 0, 16> 
<17, 21:49:07, 0, 17> 
<18, 21:49:07, 0, 18> 
<19, 21:49:07, 0, 19> 
<20, 21:49:07, 0, 20> 
<21, 21:49:07, 0, 21> 
<22, 21:49:07, 0, 22> 
<23, 21:49:07, 0, 23> 
<24, 21:49:07, 0, 24> 
<25, 21:49:07, 0, 25> 
<26, 21:49:07, 0, 26> 
<27, 21:49:07, 0, 27> 
<28, 21:49:07, 0, 28> 
<29, 21:49:07, 0, 29> 
<30, 21:49:07, 0, 30> 
<31, 21:49:07, 0, 31> 
<32, 21:49:07, 0, 32> 
<33, 21:49:07, 0, 33> 
<34, 21:49:07, 0, 34> 
<35, 21:49:07, 0, 35> 
<36, 21:49:07, 0, 36> 
<0, 21:49:07, 0, 0> 
<1, 21:49:07, 0, 1> 
