E1228 21:48:20.562983200    4466 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:48:20.5616963+01:00"}
<0, 21:48:21, 0, -1> 
<1, 21:48:21, 1, -1> 
<2, 21:48:21, 2, -1> 
<6, 21:48:21, 6, -1> 
<3, 21:48:21, 3, -1> 
<4, 21:48:21, 4, -1> 
<5, 21:48:21, 5, -1> 
<7, 21:48:21, 7, -1> 
<8, 21:48:21, 8, -1> 
<9, 21:48:21, 9, -1> 
<10, 21:48:21, 10, -1> 
<11, 21:48:21, 11, -1> 
<12, 21:48:21, 12, -1> 
<13, 21:48:21, 13, -1> 
<14, 21:48:21, 14, -1> 
<15, 21:48:21, 15, -1> 
<16, 21:48:21, 16, -1> 
<17, 21:48:21, 17, -1> 
<18, 21:48:21, 18, -1> 
<19, 21:48:21, 19, -1> 
<20, 21:48:21, 20, -1> 
<21, 21:48:22, 21, -1> 
<1, 21:48:22, 0, 1> 
<2, 21:48:22, 1, 2> 
<3, 21:48:22, 2, 3> 
<4, 21:48:22, 3, 4> 
<5, 21:48:22, 4, 5> 
<6, 21:48:22, 5, 6> 
<7, 21:48:22, 6, 7> 
<8, 21:48:22, 7, 8> 
<9, 21:48:22, 8, 9> 
<10, 21:48:22, 9, 10> 
<11, 21:48:22, 10, 11> 
<12, 21:48:22, 11, 12> 
<13, 21:48:22, 12, 13> 
<14, 21:48:22, 13, 14> 
<15, 21:48:22, 14, 15> 
<16, 21:48:22, 15, 16> 
<17, 21:48:22, 16, 17> 
<18, 21:48:22, 17, 18> 
<19, 21:48:22, 18, 19> 
<20, 21:48:22, 19, 20> 
<21, 21:48:22, 20, 21> 
<0, 21:48:22, 21, 0> 
<1, 21:48:22, 0, 1> 
<2, 21:48:22, 0, 2> 
<3, 21:48:22, 0, 3> 
<4, 21:48:22, 0, 4> 
<5, 21:48:22, 0, 5> 
<6, 21:48:22, 0, 6> 
<7, 21:48:22, 0, 7> 
<8, 21:48:22, 0, 8> 
<9, 21:48:22, 0, 9> 
<10, 21:48:22, 0, 10> 
<11, 21:48:22, 0, 11> 
<12, 21:48:22, 0, 12> 
<13, 21:48:22, 0, 13> 
<14, 21:48:22, 0, 14> 
<15, 21:48:22, 0, 15> 
<16, 21:48:22, 0, 16> 
<17, 21:48:22, 0, 17> 
<18, 21:48:22, 0, 18> 
<19, 21:48:22, 0, 19> 
<20, 21:48:22, 0, 20> 
<21, 21:48:22, 0, 21> 
<0, 21:48:22, 0, 0> 
<1, 21:48:22, 0, 1> 
<2, 21:48:22, 0, 2> 
<3, 21:48:22, 0, 3> 
<4, 21:48:22, 0, 4> 
<5, 21:48:22, 0, 5> 
<6, 21:48:22, 0, 6> 
<7, 21:48:22, 0, 7> 
<8, 21:48:22, 0, 8> 
<9, 21:48:22, 0, 9> 
<10, 21:48:22, 0, 10> 
<11, 21:48:22, 0, 11> 
<12, 21:48:22, 0, 12> 
<13, 21:48:22, 0, 13> 
<14, 21:48:22, 0, 14> 
<15, 21:48:22, 0, 15> 
<16, 21:48:22, 0, 16> 
<17, 21:48:22, 0, 17> 
<18, 21:48:22, 0, 18> 
<19, 21:48:22, 0, 19> 
<20, 21:48:22, 0, 20> 
<21, 21:48:22, 0, 21> 
<0, 21:48:22, 0, 0> 
<1, 21:48:22, 0, 1> 
