E1228 21:49:48.664410100    8345 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:49:48.6636974+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<0, 21:49:49, 0, -1> 
<1, 21:49:49, 1, -1> 
<5, 21:49:49, 5, -1> 
<2, 21:49:49, 2, -1> 
<3, 21:49:49, 3, -1> 
<4, 21:49:49, 4, -1> 
<6, 21:49:49, 6, -1> 
<7, 21:49:49, 7, -1> 
<8, 21:49:49, 8, -1> 
<9, 21:49:49, 9, -1> 
<10, 21:49:49, 10, -1> 
<11, 21:49:49, 11, -1> 
<12, 21:49:49, 12, -1> 
<13, 21:49:49, 13, -1> 
<14, 21:49:50, 14, -1> 
<15, 21:49:50, 15, -1> 
<16, 21:49:50, 16, -1> 
<17, 21:49:50, 17, -1> 
<18, 21:49:50, 18, -1> 
<1, 21:49:50, 0, 1> 
<2, 21:49:50, 1, 2> 
<3, 21:49:50, 2, 3> 
<4, 21:49:50, 3, 4> 
<5, 21:49:50, 4, 5> 
<6, 21:49:50, 5, 6> 
<7, 21:49:50, 6, 7> 
<8, 21:49:50, 7, 8> 
<9, 21:49:50, 8, 9> 
<10, 21:49:50, 9, 10> 
<11, 21:49:50, 10, 11> 
<12, 21:49:50, 11, 12> 
<13, 21:49:50, 12, 13> 
<14, 21:49:50, 13, 14> 
<15, 21:49:50, 14, 15> 
<16, 21:49:50, 15, 16> 
<17, 21:49:50, 16, 17> 
<18, 21:49:50, 17, 18> 
<0, 21:49:50, 18, 0> 
<1, 21:49:50, 0, 1> 
<2, 21:49:50, 0, 2> 
<3, 21:49:50, 0, 3> 
<4, 21:49:50, 0, 4> 
<5, 21:49:50, 0, 5> 
<6, 21:49:50, 0, 6> 
<7, 21:49:50, 0, 7> 
<8, 21:49:50, 0, 8> 
<9, 21:49:50, 0, 9> 
<10, 21:49:50, 0, 10> 
<11, 21:49:50, 0, 11> 
<12, 21:49:50, 0, 12> 
<13, 21:49:50, 0, 13> 
<14, 21:49:50, 0, 14> 
<15, 21:49:50, 0, 15> 
<16, 21:49:50, 0, 16> 
<17, 21:49:50, 0, 17> 
<18, 21:49:50, 0, 18> 
<0, 21:49:50, 0, 0> 
<1, 21:49:50, 0, 1> 
<2, 21:49:50, 0, 2> 
<3, 21:49:50, 0, 3> 
<4, 21:49:50, 0, 4> 
<5, 21:49:50, 0, 5> 
<6, 21:49:50, 0, 6> 
<7, 21:49:50, 0, 7> 
<8, 21:49:50, 0, 8> 
<9, 21:49:50, 0, 9> 
<10, 21:49:50, 0, 10> 
<11, 21:49:50, 0, 11> 
<12, 21:49:50, 0, 12> 
<13, 21:49:50, 0, 13> 
<14, 21:49:50, 0, 14> 
<15, 21:49:50, 0, 15> 
<16, 21:49:50, 0, 16> 
<17, 21:49:50, 0, 17> 
<18, 21:49:50, 0, 18> 
<0, 21:49:50, 0, 0> 
<1, 21:49:50, 0, 1> 
