E1228 21:36:45.574260300    7951 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:36:45.5734892+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<0, 21:36:46, 0, -1> 
<5, 21:36:46, 5, -1> 
<1, 21:36:46, 1, -1> 
<2, 21:36:46, 2, -1> 
<3, 21:36:46, 3, -1> 
<4, 21:36:46, 4, -1> 
<6, 21:36:46, 6, -1> 
<7, 21:36:46, 7, -1> 
<8, 21:36:46, 8, -1> 
<9, 21:36:46, 9, -1> 
<10, 21:36:46, 10, -1> 
<11, 21:36:46, 11, -1> 
<12, 21:36:46, 12, -1> 
<13, 21:36:46, 13, -1> 
<14, 21:36:47, 14, -1> 
<15, 21:36:47, 15, -1> 
<16, 21:36:47, 16, -1> 
<17, 21:36:47, 17, -1> 
<18, 21:36:47, 18, -1> 
<19, 21:36:47, 19, -1> 
<20, 21:36:47, 20, -1> 
<21, 21:36:47, 21, -1> 
<22, 21:36:47, 22, -1> 
<23, 21:36:48, 23, -1> 
<24, 21:36:48, 24, -1> 
<25, 21:36:48, 25, -1> 
<26, 21:36:48, 26, -1> 
<27, 21:36:48, 27, -1> 
<28, 21:36:48, 28, -1> 
<29, 21:36:48, 29, -1> 
<30, 21:36:48, 30, -1> 
<31, 21:36:48, 31, -1> 
<32, 21:36:48, 32, -1> 
<33, 21:36:48, 33, -1> 
<34, 21:36:48, 34, -1> 
<35, 21:36:49, 35, -1> 
<36, 21:36:49, 36, -1> 
<37, 21:36:49, 37, -1> 
<38, 21:36:49, 38, -1> 
<39, 21:36:49, 39, -1> 
<40, 21:36:49, 40, -1> 
<41, 21:36:49, 41, -1> 
<42, 21:36:49, 42, -1> 
<43, 21:36:49, 43, -1> 
<44, 21:36:49, 44, -1> 
<45, 21:36:50, 45, -1> 
<46, 21:36:50, 46, -1> 
<47, 21:36:50, 47, -1> 
<48, 21:36:50, 48, -1> 
<49, 21:36:50, 49, -1> 
<50, 21:36:50, 50, -1> 
<51, 21:36:50, 51, -1> 
<52, 21:36:50, 52, -1> 
<53, 21:36:50, 53, -1> 
<54, 21:36:51, 54, -1> 
