E1228 21:38:54.037583300   13497 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:38:54.036846+01:00"}
<0, 21:38:54, 0, -1> 
<1, 21:38:54, 1, -1> 
<2, 21:38:54, 2, -1> 
<3, 21:38:54, 3, -1> 
<7, 21:38:54, 7, -1> 
<4, 21:38:54, 4, -1> 
<5, 21:38:54, 5, -1> 
<6, 21:38:54, 6, -1> 
<8, 21:38:54, 8, -1> 
<9, 21:38:54, 9, -1> 
<10, 21:38:55, 10, -1> 
<11, 21:38:55, 11, -1> 
<12, 21:38:55, 12, -1> 
<13, 21:38:55, 13, -1> 
<14, 21:38:55, 14, -1> 
<15, 21:38:55, 15, -1> 
<16, 21:38:55, 16, -1> 
<17, 21:38:56, 17, -1> 
<18, 21:38:56, 18, -1> 
<19, 21:38:56, 19, -1> 
<20, 21:38:56, 20, -1> 
<21, 21:38:56, 21, -1> 
<22, 21:38:56, 22, -1> 
<23, 21:38:56, 23, -1> 
<24, 21:38:56, 24, -1> 
<25, 21:38:56, 25, -1> 
<26, 21:38:56, 26, -1> 
<27, 21:38:56, 27, -1> 
<28, 21:38:56, 28, -1> 
<29, 21:38:57, 29, -1> 
<30, 21:38:57, 30, -1> 
<31, 21:38:57, 31, -1> 
<32, 21:38:57, 32, -1> 
<33, 21:38:57, 33, -1> 
<34, 21:38:57, 34, -1> 
<35, 21:38:57, 35, -1> 
<36, 21:38:57, 36, -1> 
<37, 21:38:57, 37, -1> 
<38, 21:38:57, 38, -1> 
<39, 21:38:58, 39, -1> 
<40, 21:38:58, 40, -1> 
<41, 21:38:58, 41, -1> 
<42, 21:38:58, 42, -1> 
<43, 21:38:58, 43, -1> 
<44, 21:38:58, 44, -1> 
<45, 21:38:58, 45, -1> 
<46, 21:38:58, 46, -1> 
<47, 21:38:59, 47, -1> 
<48, 21:38:59, 48, -1> 
<49, 21:38:59, 49, -1> 
<50, 21:38:59, 50, -1> 
<51, 21:38:59, 51, -1> 
<52, 21:38:59, 52, -1> 
<53, 21:38:59, 53, -1> 
<54, 21:39:00, 54, -1> 
<55, 21:39:00, 55, -1> 
<56, 21:39:00, 56, -1> 
<57, 21:39:00, 57, -1> 
<58, 21:39:00, 58, -1> 
<59, 21:39:00, 59, -1> 
<60, 21:39:01, 60, -1> 
<61, 21:39:01, 61, -1> 
<62, 21:39:01, 62, -1> 
<63, 21:39:01, 63, -1> 
<64, 21:39:01, 64, -1> 
<65, 21:39:01, 65, -1> 
<66, 21:39:01, 66, -1> 
<67, 21:39:01, 67, -1> 
<68, 21:39:01, 68, -1> 
<69, 21:39:02, 69, -1> 
<70, 21:39:02, 70, -1> 
<71, 21:39:02, 71, -1> 
<72, 21:39:02, 72, -1> 
<73, 21:39:02, 73, -1> 
<74, 21:39:02, 74, -1> 
<75, 21:39:02, 75, -1> 
<76, 21:39:02, 76, -1> 
<77, 21:39:02, 77, -1> 
<78, 21:39:03, 78, -1> 
<79, 21:39:03, 79, -1> 
<80, 21:39:03, 80, -1> 
<81, 21:39:03, 81, -1> 
<82, 21:39:03, 82, -1> 
<83, 21:39:03, 83, -1> 
<84, 21:39:04, 84, -1> 
<85, 21:39:04, 85, -1> 
<86, 21:39:04, 86, -1> 
<87, 21:39:04, 87, -1> 
<88, 21:39:04, 88, -1> 
<89, 21:39:04, 89, -1> 
<90, 21:39:04, 90, -1> 
<91, 21:39:04, 91, -1> 
<92, 21:39:04, 92, -1> 
<93, 21:39:05, 93, -1> 
<94, 21:39:05, 94, -1> 
<95, 21:39:05, 95, -1> 
<96, 21:39:05, 96, -1> 
<97, 21:39:05, 97, -1> 
<98, 21:39:05, 98, -1> 
<99, 21:39:05, 99, -1> 
<100, 21:39:05, 100, -1> 
<101, 21:39:05, 101, -1> 
<102, 21:39:06, 102, -1> 
<103, 21:39:06, 103, -1> 
<104, 21:39:06, 104, -1> 
<105, 21:39:06, 105, -1> 
<106, 21:39:06, 106, -1> 
<107, 21:39:06, 107, -1> 
<108, 21:39:06, 108, -1> 
<109, 21:39:06, 109, -1> 
<110, 21:39:06, 110, -1> 
<111, 21:39:07, 111, -1> 
<1, 21:39:07, 0, 1> 
<2, 21:39:07, 1, 2> 
<3, 21:39:07, 2, 3> 
<4, 21:39:07, 3, 4> 
