E1228 21:34:07.962741900    1031 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:34:07.9620809+01:00"}
<0, 21:34:08, 0, -1> 
<7, 21:34:08, 7, -1> 
<1, 21:34:08, 1, -1> 
<2, 21:34:08, 2, -1> 
<3, 21:34:08, 3, -1> 
<4, 21:34:08, 4, -1> 
<5, 21:34:08, 5, -1> 
<8, 21:34:08, 8, -1> 
<6, 21:34:08, 6, -1> 
<9, 21:34:08, 9, -1> 
<10, 21:34:08, 10, -1> 
<11, 21:34:09, 11, -1> 
<12, 21:34:09, 12, -1> 
<13, 21:34:09, 13, -1> 
<14, 21:34:09, 14, -1> 
<15, 21:34:09, 15, -1> 
<16, 21:34:09, 16, -1> 
<17, 21:34:09, 17, -1> 
<18, 21:34:09, 18, -1> 
<19, 21:34:09, 19, -1> 
<20, 21:34:09, 20, -1> 
<21, 21:34:09, 21, -1> 
<22, 21:34:09, 22, -1> 
<23, 21:34:09, 23, -1> 
<24, 21:34:10, 24, -1> 
<25, 21:34:10, 25, -1> 
<26, 21:34:10, 26, -1> 
<27, 21:34:10, 27, -1> 
<28, 21:34:10, 28, -1> 
<29, 21:34:10, 29, -1> 
<30, 21:34:10, 30, -1> 
<31, 21:34:10, 31, -1> 
<32, 21:34:10, 32, -1> 
<33, 21:34:10, 33, -1> 
<34, 21:34:11, 34, -1> 
<35, 21:34:11, 35, -1> 
<36, 21:34:11, 36, -1> 
<37, 21:34:11, 37, -1> 
<38, 21:34:11, 38, -1> 
<39, 21:34:11, 39, -1> 
<40, 21:34:11, 40, -1> 
<41, 21:34:11, 41, -1> 
<42, 21:34:11, 42, -1> 
<43, 21:34:11, 43, -1> 
<44, 21:34:12, 44, -1> 
<45, 21:34:12, 45, -1> 
<46, 21:34:12, 46, -1> 
<47, 21:34:12, 47, -1> 
<48, 21:34:12, 48, -1> 
<49, 21:34:12, 49, -1> 
<50, 21:34:12, 50, -1> 
<51, 21:34:12, 51, -1> 
<52, 21:34:12, 52, -1> 
<53, 21:34:12, 53, -1> 
<54, 21:34:12, 54, -1> 
<55, 21:34:12, 55, -1> 
<56, 21:34:13, 56, -1> 
<57, 21:34:13, 57, -1> 
<58, 21:34:13, 58, -1> 
<59, 21:34:13, 59, -1> 
<60, 21:34:13, 60, -1> 
