E1228 21:39:15.406469100   14376 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:39:15.4056601+01:00"}
<0, 21:39:16, 0, -1> 
<6, 21:39:16, 6, -1> 
<1, 21:39:16, 1, -1> 
<2, 21:39:16, 2, -1> 
<3, 21:39:16, 3, -1> 
<4, 21:39:16, 4, -1> 
<5, 21:39:16, 5, -1> 
<7, 21:39:16, 7, -1> 
<8, 21:39:16, 8, -1> 
<9, 21:39:16, 9, -1> 
<10, 21:39:16, 10, -1> 
<11, 21:39:16, 11, -1> 
<12, 21:39:16, 12, -1> 
<13, 21:39:16, 13, -1> 
<14, 21:39:16, 14, -1> 
<15, 21:39:16, 15, -1> 
<16, 21:39:17, 16, -1> 
<17, 21:39:17, 17, -1> 
<18, 21:39:17, 18, -1> 
<19, 21:39:17, 19, -1> 
<20, 21:39:17, 20, -1> 
<21, 21:39:17, 21, -1> 
<22, 21:39:17, 22, -1> 
<23, 21:39:17, 23, -1> 
<24, 21:39:17, 24, -1> 
<25, 21:39:17, 25, -1> 
<26, 21:39:17, 26, -1> 
<27, 21:39:18, 27, -1> 
<1, 21:39:18, 0, 1> 
<2, 21:39:18, 1, 2> 
<3, 21:39:18, 2, 3> 
<4, 21:39:18, 3, 4> 
<5, 21:39:18, 4, 5> 
<6, 21:39:18, 5, 6> 
<7, 21:39:18, 6, 7> 
<8, 21:39:18, 7, 8> 
<9, 21:39:18, 8, 9> 
<10, 21:39:18, 9, 10> 
<11, 21:39:18, 10, 11> 
<12, 21:39:18, 11, 12> 
<13, 21:39:18, 12, 13> 
<14, 21:39:18, 13, 14> 
<15, 21:39:18, 14, 15> 
<16, 21:39:18, 15, 16> 
<17, 21:39:18, 16, 17> 
<18, 21:39:18, 17, 18> 
<19, 21:39:18, 18, 19> 
<20, 21:39:18, 19, 20> 
<21, 21:39:18, 20, 21> 
<22, 21:39:18, 21, 22> 
<23, 21:39:18, 22, 23> 
<24, 21:39:18, 23, 24> 
<25, 21:39:18, 24, 25> 
<26, 21:39:18, 25, 26> 
<27, 21:39:18, 26, 27> 
<0, 21:39:18, 27, 0> 
<1, 21:39:18, 0, 1> 
<2, 21:39:18, 0, 2> 
<3, 21:39:18, 0, 3> 
<4, 21:39:18, 0, 4> 
<5, 21:39:18, 0, 5> 
<6, 21:39:18, 0, 6> 
<7, 21:39:18, 0, 7> 
<8, 21:39:18, 0, 8> 
<9, 21:39:18, 0, 9> 
<10, 21:39:18, 0, 10> 
<11, 21:39:18, 0, 11> 
<12, 21:39:18, 0, 12> 
<13, 21:39:18, 0, 13> 
<14, 21:39:18, 0, 14> 
<15, 21:39:18, 0, 15> 
<16, 21:39:18, 0, 16> 
<17, 21:39:18, 0, 17> 
<18, 21:39:18, 0, 18> 
<19, 21:39:18, 0, 19> 
<20, 21:39:18, 0, 20> 
<21, 21:39:18, 0, 21> 
<22, 21:39:18, 0, 22> 
<23, 21:39:18, 0, 23> 
<24, 21:39:18, 0, 24> 
<25, 21:39:18, 0, 25> 
<26, 21:39:18, 0, 26> 
<27, 21:39:18, 0, 27> 
<0, 21:39:18, 0, 0> 
<1, 21:39:18, 0, 1> 
<2, 21:39:18, 0, 2> 
<3, 21:39:18, 0, 3> 
<4, 21:39:18, 0, 4> 
<5, 21:39:18, 0, 5> 
<6, 21:39:18, 0, 6> 
<7, 21:39:18, 0, 7> 
<8, 21:39:18, 0, 8> 
<9, 21:39:18, 0, 9> 
<10, 21:39:18, 0, 10> 
<11, 21:39:18, 0, 11> 
<12, 21:39:18, 0, 12> 
<13, 21:39:18, 0, 13> 
<14, 21:39:18, 0, 14> 
<15, 21:39:18, 0, 15> 
<16, 21:39:18, 0, 16> 
<17, 21:39:18, 0, 17> 
<18, 21:39:18, 0, 18> 
<19, 21:39:18, 0, 19> 
<20, 21:39:18, 0, 20> 
<21, 21:39:18, 0, 21> 
<22, 21:39:18, 0, 22> 
<23, 21:39:18, 0, 23> 
<24, 21:39:18, 0, 24> 
<25, 21:39:18, 0, 25> 
<26, 21:39:18, 0, 26> 
<27, 21:39:18, 0, 27> 
<0, 21:39:18, 0, 0> 
<1, 21:39:18, 0, 1> 
