E1228 21:48:42.977738800    5489 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:48:42.9767583+01:00"}
<0, 21:48:43, 0, -1> 
<4, 21:48:43, 4, -1> 
<1, 21:48:43, 1, -1> 
<2, 21:48:43, 2, -1> 
<3, 21:48:43, 3, -1> 
<5, 21:48:43, 5, -1> 
<6, 21:48:43, 6, -1> 
<7, 21:48:43, 7, -1> 
<8, 21:48:43, 8, -1> 
<9, 21:48:43, 9, -1> 
<10, 21:48:43, 10, -1> 
<11, 21:48:43, 11, -1> 
<12, 21:48:43, 12, -1> 
<13, 21:48:43, 13, -1> 
<14, 21:48:44, 14, -1> 
<15, 21:48:44, 15, -1> 
<16, 21:48:44, 16, -1> 
<17, 21:48:44, 17, -1> 
<18, 21:48:44, 18, -1> 
<19, 21:48:44, 19, -1> 
<20, 21:48:44, 20, -1> 
<21, 21:48:44, 21, -1> 
<22, 21:48:45, 22, -1> 
<23, 21:48:45, 23, -1> 
<24, 21:48:45, 24, -1> 
<25, 21:48:45, 25, -1> 
<26, 21:48:45, 26, -1> 
<27, 21:48:45, 27, -1> 
<28, 21:48:45, 28, -1> 
<29, 21:48:45, 29, -1> 
<30, 21:48:45, 30, -1> 
<31, 21:48:45, 31, -1> 
<32, 21:48:45, 32, -1> 
<33, 21:48:45, 33, -1> 
<34, 21:48:45, 34, -1> 
<35, 21:48:45, 35, -1> 
<36, 21:48:46, 36, -1> 
<37, 21:48:46, 37, -1> 
<38, 21:48:46, 38, -1> 
<39, 21:48:46, 39, -1> 
<40, 21:48:46, 40, -1> 
<41, 21:48:46, 41, -1> 
<42, 21:48:46, 42, -1> 
<43, 21:48:46, 43, -1> 
<44, 21:48:46, 44, -1> 
<45, 21:48:46, 45, -1> 
<46, 21:48:46, 46, -1> 
<47, 21:48:46, 47, -1> 
<48, 21:48:47, 48, -1> 
<49, 21:48:47, 49, -1> 
<50, 21:48:47, 50, -1> 
<51, 21:48:47, 51, -1> 
<52, 21:48:47, 52, -1> 
<53, 21:48:47, 53, -1> 
<54, 21:48:47, 54, -1> 
<55, 21:48:47, 55, -1> 
<56, 21:48:47, 56, -1> 
<57, 21:48:48, 57, -1> 
<58, 21:48:48, 58, -1> 
<59, 21:48:48, 59, -1> 
<60, 21:48:48, 60, -1> 
<61, 21:48:48, 61, -1> 
<62, 21:48:48, 62, -1> 
<63, 21:48:48, 63, -1> 
<64, 21:48:48, 64, -1> 
<65, 21:48:48, 65, -1> 
<66, 21:48:48, 66, -1> 
<67, 21:48:48, 67, -1> 
<68, 21:48:48, 68, -1> 
<69, 21:48:49, 69, -1> 
<70, 21:48:49, 70, -1> 
<71, 21:48:49, 71, -1> 
<72, 21:48:49, 72, -1> 
