E1228 21:43:12.821381100   24237 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:43:12.820445+01:00"}
<0, 21:43:13, 0, -1> 
<1, 21:43:13, 1, -1> 
<2, 21:43:13, 2, -1> 
<3, 21:43:13, 3, -1> 
<4, 21:43:13, 4, -1> 
<5, 21:43:13, 5, -1> 
<7, 21:43:13, 7, -1> 
<6, 21:43:13, 6, -1> 
<8, 21:43:13, 8, -1> 
<9, 21:43:13, 9, -1> 
<10, 21:43:13, 10, -1> 
<11, 21:43:13, 11, -1> 
<12, 21:43:13, 12, -1> 
<13, 21:43:13, 13, -1> 
<14, 21:43:14, 14, -1> 
<15, 21:43:14, 15, -1> 
<16, 21:43:14, 16, -1> 
<17, 21:43:14, 17, -1> 
<18, 21:43:14, 18, -1> 
<19, 21:43:14, 19, -1> 
<20, 21:43:14, 20, -1> 
<21, 21:43:14, 21, -1> 
<22, 21:43:15, 22, -1> 
<23, 21:43:15, 23, -1> 
<24, 21:43:15, 24, -1> 
<25, 21:43:15, 25, -1> 
<26, 21:43:15, 26, -1> 
<27, 21:43:15, 27, -1> 
<28, 21:43:15, 28, -1> 
<29, 21:43:15, 29, -1> 
<30, 21:43:15, 30, -1> 
<31, 21:43:15, 31, -1> 
<32, 21:43:15, 32, -1> 
<33, 21:43:15, 33, -1> 
<34, 21:43:16, 34, -1> 
<35, 21:43:16, 35, -1> 
<36, 21:43:16, 36, -1> 
<37, 21:43:16, 37, -1> 
<38, 21:43:16, 38, -1> 
<39, 21:43:16, 39, -1> 
<40, 21:43:16, 40, -1> 
<41, 21:43:16, 41, -1> 
<42, 21:43:16, 42, -1> 
<1, 21:43:17, 0, 1> 
<2, 21:43:17, 1, 2> 
<3, 21:43:17, 2, 3> 
<4, 21:43:17, 3, 4> 
<5, 21:43:17, 4, 5> 
<6, 21:43:17, 5, 6> 
<7, 21:43:17, 6, 7> 
<8, 21:43:17, 7, 8> 
<9, 21:43:17, 8, 9> 
<10, 21:43:17, 9, 10> 
<11, 21:43:17, 10, 11> 
<12, 21:43:17, 11, 12> 
<13, 21:43:17, 12, 13> 
<14, 21:43:17, 13, 14> 
<15, 21:43:17, 14, 15> 
<16, 21:43:17, 15, 16> 
<17, 21:43:17, 16, 17> 
<18, 21:43:17, 17, 18> 
<19, 21:43:17, 18, 19> 
<20, 21:43:17, 19, 20> 
<21, 21:43:17, 20, 21> 
<22, 21:43:17, 21, 22> 
<23, 21:43:17, 22, 23> 
<24, 21:43:17, 23, 24> 
<25, 21:43:17, 24, 25> 
<26, 21:43:17, 25, 26> 
<27, 21:43:17, 26, 27> 
<28, 21:43:17, 27, 28> 
<29, 21:43:17, 28, 29> 
<30, 21:43:17, 29, 30> 
<31, 21:43:17, 30, 31> 
<32, 21:43:17, 31, 32> 
<33, 21:43:17, 32, 33> 
<34, 21:43:17, 33, 34> 
<35, 21:43:17, 34, 35> 
<36, 21:43:17, 35, 36> 
<37, 21:43:17, 36, 37> 
<38, 21:43:17, 37, 38> 
<39, 21:43:17, 38, 39> 
<40, 21:43:17, 39, 40> 
<41, 21:43:17, 40, 41> 
<42, 21:43:17, 41, 42> 
<0, 21:43:17, 42, 0> 
<1, 21:43:17, 0, 1> 
<2, 21:43:17, 0, 2> 
<3, 21:43:17, 0, 3> 
<4, 21:43:17, 0, 4> 
<5, 21:43:17, 0, 5> 
<6, 21:43:17, 0, 6> 
<7, 21:43:17, 0, 7> 
<8, 21:43:17, 0, 8> 
<9, 21:43:17, 0, 9> 
<10, 21:43:17, 0, 10> 
<11, 21:43:17, 0, 11> 
<12, 21:43:17, 0, 12> 
<13, 21:43:17, 0, 13> 
<14, 21:43:17, 0, 14> 
