E1228 21:38:06.264989900   11525 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:38:06.2643449+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<0, 21:38:06, 0, -1> 
<1, 21:38:06, 1, -1> 
<2, 21:38:06, 2, -1> 
<3, 21:38:06, 3, -1> 
<5, 21:38:06, 5, -1> 
<4, 21:38:06, 4, -1> 
<6, 21:38:06, 6, -1> 
<7, 21:38:07, 7, -1> 
<8, 21:38:07, 8, -1> 
<9, 21:38:07, 9, -1> 
<10, 21:38:07, 10, -1> 
<11, 21:38:07, 11, -1> 
<12, 21:38:07, 12, -1> 
<13, 21:38:07, 13, -1> 
<14, 21:38:07, 14, -1> 
<15, 21:38:07, 15, -1> 
<16, 21:38:08, 16, -1> 
<17, 21:38:08, 17, -1> 
<18, 21:38:08, 18, -1> 
<19, 21:38:08, 19, -1> 
<20, 21:38:08, 20, -1> 
<21, 21:38:09, 21, -1> 
<22, 21:38:09, 22, -1> 
<23, 21:38:09, 23, -1> 
<24, 21:38:09, 24, -1> 
<1, 21:38:09, 0, 1> 
<2, 21:38:09, 1, 2> 
<3, 21:38:09, 2, 3> 
<4, 21:38:09, 3, 4> 
<5, 21:38:09, 4, 5> 
<6, 21:38:09, 5, 6> 
<7, 21:38:09, 6, 7> 
<8, 21:38:09, 7, 8> 
<9, 21:38:09, 8, 9> 
<10, 21:38:09, 9, 10> 
<11, 21:38:09, 10, 11> 
<12, 21:38:09, 11, 12> 
<13, 21:38:09, 12, 13> 
<14, 21:38:09, 13, 14> 
<15, 21:38:09, 14, 15> 
<16, 21:38:09, 15, 16> 
<17, 21:38:09, 16, 17> 
<18, 21:38:09, 17, 18> 
<19, 21:38:09, 18, 19> 
<20, 21:38:09, 19, 20> 
<21, 21:38:09, 20, 21> 
<22, 21:38:09, 21, 22> 
<23, 21:38:09, 22, 23> 
<24, 21:38:09, 23, 24> 
<0, 21:38:09, 24, 0> 
<1, 21:38:09, 0, 1> 
<2, 21:38:09, 0, 2> 
<3, 21:38:09, 0, 3> 
<4, 21:38:09, 0, 4> 
<5, 21:38:09, 0, 5> 
<6, 21:38:09, 0, 6> 
<7, 21:38:09, 0, 7> 
<8, 21:38:09, 0, 8> 
<9, 21:38:09, 0, 9> 
<10, 21:38:09, 0, 10> 
<11, 21:38:09, 0, 11> 
<12, 21:38:09, 0, 12> 
<13, 21:38:09, 0, 13> 
<14, 21:38:09, 0, 14> 
<15, 21:38:09, 0, 15> 
<16, 21:38:09, 0, 16> 
<17, 21:38:09, 0, 17> 
<18, 21:38:09, 0, 18> 
<19, 21:38:09, 0, 19> 
<20, 21:38:09, 0, 20> 
<21, 21:38:09, 0, 21> 
<22, 21:38:09, 0, 22> 
<23, 21:38:09, 0, 23> 
<24, 21:38:09, 0, 24> 
<0, 21:38:09, 0, 0> 
<1, 21:38:09, 0, 1> 
<2, 21:38:09, 0, 2> 
<3, 21:38:09, 0, 3> 
<4, 21:38:09, 0, 4> 
<5, 21:38:09, 0, 5> 
<6, 21:38:09, 0, 6> 
<7, 21:38:09, 0, 7> 
<8, 21:38:09, 0, 8> 
<9, 21:38:09, 0, 9> 
<10, 21:38:09, 0, 10> 
<11, 21:38:09, 0, 11> 
<12, 21:38:09, 0, 12> 
<13, 21:38:09, 0, 13> 
<14, 21:38:09, 0, 14> 
<15, 21:38:09, 0, 15> 
<16, 21:38:09, 0, 16> 
<17, 21:38:09, 0, 17> 
<18, 21:38:09, 0, 18> 
<19, 21:38:09, 0, 19> 
<20, 21:38:09, 0, 20> 
<21, 21:38:09, 0, 21> 
<22, 21:38:09, 0, 22> 
<23, 21:38:09, 0, 23> 
<24, 21:38:09, 0, 24> 
<0, 21:38:09, 0, 0> 
<1, 21:38:09, 0, 1> 
