E1228 21:36:04.910392700    6213 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:36:04.9096169+01:00"}
<0, 21:36:05, 0, -1> 
<1, 21:36:05, 1, -1> 
<5, 21:36:05, 5, -1> 
<2, 21:36:05, 2, -1> 
<3, 21:36:05, 3, -1> 
<4, 21:36:05, 4, -1> 
<6, 21:36:05, 6, -1> 
<7, 21:36:05, 7, -1> 
<8, 21:36:05, 8, -1> 
<9, 21:36:05, 9, -1> 
<10, 21:36:05, 10, -1> 
<11, 21:36:05, 11, -1> 
<12, 21:36:05, 12, -1> 
<13, 21:36:06, 13, -1> 
<14, 21:36:06, 14, -1> 
<15, 21:36:06, 15, -1> 
<16, 21:36:06, 16, -1> 
<17, 21:36:06, 17, -1> 
<18, 21:36:06, 18, -1> 
<19, 21:36:06, 19, -1> 
<20, 21:36:06, 20, -1> 
<21, 21:36:06, 21, -1> 
<22, 21:36:06, 22, -1> 
<23, 21:36:07, 23, -1> 
<24, 21:36:07, 24, -1> 
<25, 21:36:07, 25, -1> 
<26, 21:36:07, 26, -1> 
<27, 21:36:07, 27, -1> 
<28, 21:36:07, 28, -1> 
<29, 21:36:07, 29, -1> 
<30, 21:36:07, 30, -1> 
<31, 21:36:07, 31, -1> 
<32, 21:36:07, 32, -1> 
<33, 21:36:07, 33, -1> 
<34, 21:36:08, 34, -1> 
<35, 21:36:08, 35, -1> 
<36, 21:36:08, 36, -1> 
<37, 21:36:08, 37, -1> 
<38, 21:36:08, 38, -1> 
<39, 21:36:08, 39, -1> 
<40, 21:36:08, 40, -1> 
<41, 21:36:08, 41, -1> 
<42, 21:36:08, 42, -1> 
<43, 21:36:08, 43, -1> 
<44, 21:36:09, 44, -1> 
<45, 21:36:09, 45, -1> 
<46, 21:36:09, 46, -1> 
<47, 21:36:09, 47, -1> 
<48, 21:36:09, 48, -1> 
<49, 21:36:09, 49, -1> 
<50, 21:36:09, 50, -1> 
