E1228 21:45:20.386773700   29679 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {created_time:"2022-12-28T21:45:20.3859498+01:00", errno:92, os_error:"Protocol not available", syscall:"getsockopt(SO_REUSEPORT)"}
<0, 21:45:20, 0, -1> 
<1, 21:45:20, 1, -1> 
<5, 21:45:21, 5, -1> 
<2, 21:45:21, 2, -1> 
<3, 21:45:21, 3, -1> 
<4, 21:45:21, 4, -1> 
<6, 21:45:21, 6, -1> 
<7, 21:45:21, 7, -1> 
<8, 21:45:21, 8, -1> 
<9, 21:45:21, 9, -1> 
<10, 21:45:21, 10, -1> 
<11, 21:45:21, 11, -1> 
<12, 21:45:21, 12, -1> 
<13, 21:45:21, 13, -1> 
<14, 21:45:21, 14, -1> 
<15, 21:45:21, 15, -1> 
<16, 21:45:22, 16, -1> 
<17, 21:45:22, 17, -1> 
<18, 21:45:22, 18, -1> 
<19, 21:45:22, 19, -1> 
<20, 21:45:22, 20, -1> 
<21, 21:45:22, 21, -1> 
<22, 21:45:22, 22, -1> 
<23, 21:45:22, 23, -1> 
<24, 21:45:22, 24, -1> 
<25, 21:45:23, 25, -1> 
<26, 21:45:23, 26, -1> 
<27, 21:45:23, 27, -1> 
<28, 21:45:23, 28, -1> 
<29, 21:45:23, 29, -1> 
<30, 21:45:23, 30, -1> 
<31, 21:45:23, 31, -1> 
<32, 21:45:23, 32, -1> 
<33, 21:45:23, 33, -1> 
<34, 21:45:23, 34, -1> 
<35, 21:45:23, 35, -1> 
<36, 21:45:23, 36, -1> 
<37, 21:45:23, 37, -1> 
<38, 21:45:24, 38, -1> 
<39, 21:45:24, 39, -1> 
<1, 21:45:24, 0, 1> 
<2, 21:45:24, 1, 2> 
<3, 21:45:24, 2, 3> 
<4, 21:45:24, 3, 4> 
<5, 21:45:24, 4, 5> 
<6, 21:45:24, 5, 6> 
<7, 21:45:24, 6, 7> 
<8, 21:45:24, 7, 8> 
<9, 21:45:24, 8, 9> 
<10, 21:45:24, 9, 10> 
<11, 21:45:24, 10, 11> 
<12, 21:45:24, 11, 12> 
<13, 21:45:24, 12, 13> 
<14, 21:45:24, 13, 14> 
<15, 21:45:24, 14, 15> 
<16, 21:45:24, 15, 16> 
<17, 21:45:24, 16, 17> 
<18, 21:45:24, 17, 18> 
<19, 21:45:24, 18, 19> 
<20, 21:45:24, 19, 20> 
<21, 21:45:24, 20, 21> 
<22, 21:45:24, 21, 22> 
<23, 21:45:24, 22, 23> 
<24, 21:45:24, 23, 24> 
<25, 21:45:24, 24, 25> 
<26, 21:45:24, 25, 26> 
<27, 21:45:24, 26, 27> 
<28, 21:45:24, 27, 28> 
<29, 21:45:24, 28, 29> 
<30, 21:45:24, 29, 30> 
<31, 21:45:24, 30, 31> 
<32, 21:45:24, 31, 32> 
<33, 21:45:24, 32, 33> 
<34, 21:45:24, 33, 34> 
<35, 21:45:24, 34, 35> 
<36, 21:45:24, 35, 36> 
<37, 21:45:24, 36, 37> 
<38, 21:45:24, 37, 38> 
<39, 21:45:24, 38, 39> 
<0, 21:45:24, 39, 0> 
<1, 21:45:24, 0, 1> 
<2, 21:45:24, 0, 2> 
<3, 21:45:24, 0, 3> 
<4, 21:45:24, 0, 4> 
<5, 21:45:24, 0, 5> 
<6, 21:45:24, 0, 6> 
<7, 21:45:24, 0, 7> 
<8, 21:45:24, 0, 8> 
<9, 21:45:24, 0, 9> 
<10, 21:45:24, 0, 10> 
<11, 21:45:24, 0, 11> 
<12, 21:45:24, 0, 12> 
<13, 21:45:24, 0, 13> 
<14, 21:45:24, 0, 14> 
<15, 21:45:24, 0, 15> 
<16, 21:45:24, 0, 16> 
<17, 21:45:24, 0, 17> 
<18, 21:45:24, 0, 18> 
<19, 21:45:24, 0, 19> 
<20, 21:45:24, 0, 20> 
<21, 21:45:24, 0, 21> 
<22, 21:45:24, 0, 22> 
<23, 21:45:24, 0, 23> 
<24, 21:45:24, 0, 24> 
<25, 21:45:24, 0, 25> 
<26, 21:45:24, 0, 26> 
<27, 21:45:24, 0, 27> 
<28, 21:45:24, 0, 28> 
<29, 21:45:24, 0, 29> 
<30, 21:45:24, 0, 30> 
<31, 21:45:24, 0, 31> 
<32, 21:45:24, 0, 32> 
<33, 21:45:24, 0, 33> 
<34, 21:45:24, 0, 34> 
<35, 21:45:24, 0, 35> 
<36, 21:45:24, 0, 36> 
<37, 21:45:24, 0, 37> 
<38, 21:45:24, 0, 38> 
<39, 21:45:24, 0, 39> 
<0, 21:45:24, 0, 0> 
<1, 21:45:24, 0, 1> 
<2, 21:45:24, 0, 2> 
<3, 21:45:24, 0, 3> 
<4, 21:45:24, 0, 4> 
<5, 21:45:24, 0, 5> 
<6, 21:45:24, 0, 6> 
<7, 21:45:24, 0, 7> 
<8, 21:45:24, 0, 8> 
<9, 21:45:24, 0, 9> 
<10, 21:45:24, 0, 10> 
<11, 21:45:24, 0, 11> 
<12, 21:45:24, 0, 12> 
<13, 21:45:24, 0, 13> 
<14, 21:45:24, 0, 14> 
<15, 21:45:24, 0, 15> 
<16, 21:45:24, 0, 16> 
<17, 21:45:24, 0, 17> 
<18, 21:45:24, 0, 18> 
<19, 21:45:24, 0, 19> 
<20, 21:45:24, 0, 20> 
<21, 21:45:24, 0, 21> 
<22, 21:45:24, 0, 22> 
<23, 21:45:24, 0, 23> 
<24, 21:45:24, 0, 24> 
<25, 21:45:24, 0, 25> 
<26, 21:45:24, 0, 26> 
<27, 21:45:24, 0, 27> 
<28, 21:45:24, 0, 28> 
<29, 21:45:24, 0, 29> 
<30, 21:45:24, 0, 30> 
<31, 21:45:24, 0, 31> 
<32, 21:45:24, 0, 32> 
<33, 21:45:24, 0, 33> 
<34, 21:45:24, 0, 34> 
<35, 21:45:24, 0, 35> 
<36, 21:45:24, 0, 36> 
<37, 21:45:24, 0, 37> 
<38, 21:45:24, 0, 38> 
<39, 21:45:24, 0, 39> 
<0, 21:45:24, 0, 0> 
<1, 21:45:24, 0, 1> 
